campaign_id,campaign_name,summary_date,number_of_impressions,number_of_clicks,number_of_installs,amount_of_spend,CTR,CTI
campaign_10,Super campaign 10,2022-07-07,0,41214,0,10.66,,
campaign_10,Super campaign 10,2022-07-08,0,41214,0,10.66,,
campaign_10,Super campaign 10,2022-07-09,0,41214,0,3.965,,
campaign_10,Super campaign 10,2022-07-10,0,41214,0,3.1850000000000005,,
campaign_10,Super campaign 10,2022-07-11,0,41214,0,2.275,,
campaign_10,Super campaign 10,2022-07-12,0,41214,0,0.78,,
campaign_10,Super campaign 10,2022-07-13,0,41214,0,0.78,,
campaign_10,Super campaign 10,2022-07-14,0,41214,0,0.9099999999999999,,
campaign_10,Super campaign 10,2022-07-15,0,41214,0,0.13,,
campaign_10,Super campaign 10,2022-07-16,0,41214,0,0.5850000000000001,,
campaign_10,Super campaign 10,2022-07-17,0,41214,0,0.78,,
campaign_10,Super campaign 10,2022-07-18,0,41214,0,0.13,,
campaign_10,Super campaign 10,2022-07-19,0,41214,0,0.13,,
campaign_10,Super campaign 10,2022-07-20,0,0,0,0.0,,
campaign_10,Super campaign 10,2022-07-21,0,0,0,0.0,,
campaign_10,Super campaign 10,2022-07-22,0,0,0,0.0,,
campaign_10,Super campaign 10,2022-07-23,0,0,0,0.0,,
campaign_10,Super campaign 10,2022-07-24,0,0,0,0.0,,
campaign_10,Super campaign 10,2022-07-25,0,0,0,0.0,,
campaign_10,Super campaign 10,2022-07-26,0,0,0,0.0,,
campaign_10,Super campaign 10,2022-07-27,0,0,0,0.0,,
campaign_10,Super campaign 10,2022-07-28,0,0,0,0.0,,
campaign_10,Super campaign 10,2022-07-29,0,0,0,0.0,,
campaign_10,Super campaign 10,2022-07-30,0,0,0,0.0,,
campaign_10,Super campaign 10,2022-07-31,0,0,0,0.0,,
campaign_13,Super campaign 13,2022-06-01,0,0,2,0.0,,0.0
campaign_16,Super campaign 16,2022-06-01,3363808,4074,766,172.6413,0.0012111273889591795,0.22538028720626632
campaign_16,Super campaign 16,2022-06-02,3714974,4854,776,187.52889999999996,0.001306604030068582,0.24166095360824738
campaign_16,Super campaign 16,2022-06-03,3820238,5266,848,211.37545,0.001378448149042023,0.24926350235849057
campaign_16,Super campaign 16,2022-06-04,4099150,5978,858,215.0668,0.001458351121573985,0.2506606060606061
campaign_16,Super campaign 16,2022-06-05,4400752,6962,838,214.39145,0.0015820023486894967,0.25583705250596656
campaign_16,Super campaign 16,2022-06-06,4062332,5776,788,197.86520000000002,0.001421843414078416,0.2510979695431472
campaign_16,Super campaign 16,2022-06-07,4341740,6212,798,218.96289999999996,0.0014307627817418823,0.2743895989974937
campaign_16,Super campaign 16,2022-06-08,4806818,7470,1070,248.34225000000006,0.001554042611973243,0.2320955607476636
campaign_16,Super campaign 16,2022-06-09,4179074,7304,1120,252.46715,0.0017477556032747925,0.2254170982142857
campaign_16,Super campaign 16,2022-06-10,3900464,6426,1032,249.70075000000006,0.0016474962978763551,0.24195809108527136
campaign_16,Super campaign 16,2022-06-11,4199664,7560,908,264.25424999999996,0.0018001440115209216,0.2910289096916299
campaign_16,Super campaign 16,2022-06-12,4166636,7872,966,266.51235,0.0018892939052031423,0.2758927018633541
campaign_16,Super campaign 16,2022-06-13,3674824,5810,1074,216.48250000000004,0.0015810280982164044,0.20156657355679705
campaign_16,Super campaign 16,2022-06-14,3426072,5222,920,189.04535000000004,0.0015241944711027672,0.20548407608695657
campaign_16,Super campaign 16,2022-06-15,3668438,5772,914,195.74425000000002,0.0015734217124563643,0.2141621991247265
campaign_16,Super campaign 16,2022-06-16,3954822,6890,1174,203.3304,0.0017421770183335685,0.17319454855195912
campaign_16,Super campaign 16,2022-06-17,3879230,6578,1140,203.567,0.0016956973419982831,0.17856754385964912
campaign_16,Super campaign 16,2022-06-18,3968270,7090,978,211.7284,0.0017866727818419614,0.21649120654396728
campaign_16,Super campaign 16,2022-06-19,4252782,8098,1034,222.3299,0.0019041653204890352,0.21501924564796907
campaign_16,Super campaign 16,2022-06-20,3525716,5648,990,165.22935,0.001601944115748404,0.16689833333333334
campaign_16,Super campaign 16,2022-06-21,3081762,4906,794,149.84449999999998,0.0015919464254540098,0.1887210327455919
campaign_16,Super campaign 16,2022-06-22,4652174,8038,994,304.1740000000001,0.0017277943602281428,0.30601006036217315
campaign_16,Super campaign 16,2022-06-23,8569258,22592,452,777.2895000000001,0.0026364009579359147,1.7196670353982302
campaign_16,Super campaign 16,2022-06-24,13153530,51988,64,1627.132,0.003952399089826077,25.4239375
campaign_16,Super campaign 16,2022-06-25,11998744,69030,108,1627.3971999999999,0.005753102158025873,15.068492592592591
campaign_16,Super campaign 16,2022-06-26,12373642,105344,190,1627.3679499999998,0.008513580722636067,8.56509447368421
campaign_16,Super campaign 16,2022-06-27,6625678,75652,196,904.6791000000001,0.01141800129737666,4.615709693877552
campaign_16,Super campaign 16,2022-06-28,7677574,95692,422,651.6510000000001,0.01246383297640635,1.544196682464455
campaign_16,Super campaign 16,2022-06-29,7393178,92184,1538,651.87525,0.012468792175705765,0.423846066319896
campaign_16,Super campaign 16,2022-06-30,7389618,74400,978,651.5190500000001,0.010068179437692178,0.6661748977505113
campaign_16,Super campaign 16,2022-07-01,5638408,40922,198,451.8397000000001,0.007257722392561872,2.2820186868686876
campaign_16,Super campaign 16,2022-07-02,5753744,35580,182,314.88015000000007,0.006183799626816904,1.7301107142857146
campaign_16,Super campaign 16,2022-07-03,5580182,65368,182,315.03679999999997,0.011714313260750276,1.7309714285714284
campaign_16,Super campaign 16,2022-07-04,5204478,69914,186,309.22450000000003,0.013433431748582662,1.6624973118279571
campaign_16,Super campaign 16,2022-07-05,2772402,39632,134,162.79250000000005,0.014295185185986737,1.214869402985075
campaign_16,Super campaign 16,2022-07-06,4335026,27066,96,162.60139999999998,0.00624356116895262,1.6937645833333332
campaign_16,Super campaign 16,2022-07-07,4210116,31610,126,162.72684999999998,0.0075081066649945035,1.2914829365079363
campaign_16,Super campaign 16,2022-07-08,3983354,45128,104,162.70995000000002,0.011329146242086443,1.5645187500000002
